user_number,datetime,Consommation,cluster,anomalie,type
1_15,2016-05-03 20:25:03,0,1,0,
1_15,2016-05-03 21:25:01,0,1,0,
1_15,2016-05-03 22:25:01,0,1,0,
1_15,2016-05-03 23:25:01,0,1,0,
1_15,2016-06-03 00:25:01,0,1,0,
1_15,2016-06-03 01:24:59,0,1,0,
1_15,2016-06-03 02:24:59,0,1,0,
1_15,2016-06-03 03:24:59,0,1,0,
1_15,2016-06-03 04:24:59,0,1,0,
1_15,2016-06-03 05:25:01,0,1,0,
1_15,2016-06-03 06:25:01,0,1,0,
1_15,2016-06-03 07:25:01,0,1,0,
1_15,2016-06-03 08:25:01,0,1,0,
1_15,2016-06-03 09:25:00,0,1,0,
1_15,2016-06-03 10:25:00,0,1,0,
1_15,2016-06-03 11:25:00,0,1,0,
1_15,2016-06-03 12:25:00,0,1,0,
1_15,2016-06-03 13:24:59,0,1,0,
1_15,2016-06-03 14:24:59,26,1,0,
1_15,2016-06-03 15:24:59,26,1,0,
1_15,2016-06-03 16:24:59,28,1,0,
1_15,2016-06-03 17:24:57,32,1,0,
1_15,2016-06-03 18:24:57,22,1,0,
1_15,2016-06-03 19:24:57,94,1,0,
1_15,2016-06-03 20:24:57,99,1,0,
1_15,2016-06-03 21:24:59,64,1,0,
1_15,2016-06-03 22:24:59,14,1,0,
1_15,2016-06-03 23:24:59,5,1,0,
1_15,2016-07-03 00:24:59,41,1,0,
1_15,2016-07-03 01:24:57,0,1,0,
1_15,2016-07-03 02:24:57,0,1,0,
1_15,2016-07-03 03:24:57,0,1,0,
1_15,2016-07-03 04:24:57,0,1,0,
1_15,2016-07-03 05:44:27,0,1,0,
1_15,2016-07-03 06:44:27,7,1,0,
1_15,2016-07-03 07:44:27,16,1,0,
1_15,2016-07-03 08:44:27,225,1,0,
1_15,2016-07-03 09:24:57,16,1,0,
1_15,2016-07-03 10:24:57,0,1,0,
1_15,2016-07-03 11:24:57,0,1,0,
1_15,2016-07-03 12:24:57,0,1,0,
1_15,2016-07-03 13:24:57,0,1,0,
1_15,2016-07-03 14:24:57,0,1,0,
1_15,2016-07-03 15:24:57,70,1,0,
1_15,2016-07-03 16:24:57,18,1,0,
1_15,2016-07-03 21:25:11,192,1,0,
1_15,2016-07-03 22:25:11,17,1,0,
1_15,2016-07-03 23:25:11,7,1,0,
1_15,2016-08-03 00:25:11,38,1,0,
1_15,2016-08-03 01:24:55,5,1,0,
1_15,2016-08-03 02:24:55,0,1,0,
1_15,2016-08-03 03:24:55,0,1,0,
