user_number,datetime,Consommation,cluster,anomalie,type
0_39,2016-03-01 01:02:47,7,0,0,
0_39,2016-03-01 02:02:47,8,0,0,
0_39,2016-03-01 03:02:45,3,0,0,
0_39,2016-03-01 04:02:45,0,0,0,
0_39,2016-03-01 05:02:45,0,0,0,
0_39,2016-03-01 06:02:45,0,0,0,
0_39,2016-03-01 07:02:47,1,0,0,
0_39,2016-03-01 08:02:47,14,0,0,
0_39,2016-03-01 09:02:47,12,0,0,
0_39,2016-03-01 10:02:47,6,0,0,
0_39,2016-03-01 11:02:43,0,0,0,
0_39,2016-03-01 12:02:43,0,0,0,
0_39,2016-03-01 13:02:43,0,0,0,
0_39,2016-03-01 14:02:43,8,0,0,
0_39,2016-03-01 15:02:45,19,0,0,
0_39,2016-03-01 16:02:45,19,0,0,
0_39,2016-03-01 17:02:45,17,0,0,
0_39,2016-03-01 18:02:45,0,0,0,
0_39,2016-03-01 19:02:43,0,0,0,
0_39,2016-03-01 20:02:43,6,0,0,
0_39,2016-03-01 21:02:43,0,0,0,
0_39,2016-03-01 22:02:43,38,0,0,
0_39,2016-03-01 23:02:45,29,0,0,
0_39,2016-03-02 00:02:45,33,0,0,
0_39,2016-03-02 01:02:45,0,0,0,
0_39,2016-03-02 02:02:45,0,0,0,
0_39,2016-03-02 03:02:44,0,0,0,
0_39,2016-03-02 04:02:44,0,0,0,
0_39,2016-03-02 05:02:44,0,0,0,
0_39,2016-03-02 06:02:44,0,0,0,
0_39,2016-03-02 07:02:44,1,0,0,
0_39,2016-03-02 08:02:44,18,0,0,
0_39,2016-03-02 09:02:44,52,0,0,
0_39,2016-03-02 10:02:44,21,0,0,
0_39,2016-03-02 11:02:55,12,0,0,
0_39,2016-03-02 12:02:55,0,0,0,
0_39,2016-03-02 13:02:55,0,0,0,
0_39,2016-03-02 14:02:55,87,0,0,
0_39,2016-03-02 15:02:45,1,0,0,
0_39,2016-03-02 16:02:45,12,0,0,
0_39,2016-03-02 17:02:45,18,0,0,
0_39,2016-03-02 18:02:45,0,0,0,
0_39,2016-03-02 19:02:43,2,0,0,
0_39,2016-03-02 20:02:43,1,0,0,
