user_number,datetime,Consommation,cluster,anomalie,type
0_39,2016-09-05 20:57:36,-30,0,1,prb de retour d/eau
0_39,2016-09-05 21:57:36,-91,0,1,prb de retour d/eau
0_39,2016-09-05 22:57:36,-33,0,1,prb de retour d/eau
0_39,2016-09-05 23:57:36,-56,0,1,prb de retour d/eau
0_39,2016-09-12 00:57:27,-31,0,1,prb de retour d/eau
0_39,2016-09-12 01:57:27,-40,0,1,prb de retour d/eau
0_39,2016-09-12 02:57:27,-30,0,1,prb de retour d/eau
0_39,2016-09-12 03:57:26,-30,0,1,prb de retour d/eau
0_39,2016-09-12 04:57:26,-30,0,1,prb de retour d/eau
0_39,2016-09-12 05:57:26,-30,0,1,prb de retour d/eau
0_39,2016-09-12 06:57:26,-36,0,1,prb de retour d/eau
0_39,2016-09-12 07:57:27,-37,0,1,prb de retour d/eau
0_39,2016-09-12 08:57:27,-32,0,1,prb de retour d/eau
0_39,2016-09-12 09:57:27,-64,0,1,prb de retour d/eau
0_39,2016-09-12 10:57:27,-119,0,1,prb de retour d/eau
0_39,2016-09-12 11:57:26,-32,0,1,prb de retour d/eau
0_39,2016-09-12 12:57:26,-30,0,1,prb de retour d/eau
0_39,2016-09-12 13:57:26,-36,0,1,prb de retour d/eau
0_39,2016-09-12 14:57:26,-31,0,1,prb de retour d/eau
0_39,2016-09-12 15:59:01,-37,0,1,prb de retour d/eau
0_39,2016-09-12 16:59:01,-44,0,1,prb de retour d/eau
0_39,2016-09-12 17:59:01,-33,0,1,prb de retour d/eau
0_39,2016-09-12 18:59:01,-30,0,1,prb de retour d/eau
0_39,2016-09-12 19:57:27,-35,0,1,prb de retour d/eau
0_39,2016-09-12 20:57:27,-31,0,1,prb de retour d/eau
0_39,2016-09-12 21:57:27,-96,0,1,prb de retour d/eau
0_39,2016-09-12 22:57:27,-30,0,1,prb de retour d/eau
0_39,2016-09-12 23:57:27,-60,0,1,prb de retour d/eau
0_39,2016-10-01 10:56:56,-80,0,1,prb de retour d/eau
0_39,2016-10-01 11:56:55,-79,0,1,prb de retour d/eau
0_39,2016-10-01 12:56:55,-81,0,1,prb de retour d/eau
0_39,2016-10-01 13:56:55,-71,0,1,prb de retour d/eau
0_39,2016-10-01 14:56:55,-33,0,1,prb de retour d/eau
0_39,2016-10-01 23:56:55,-170,0,1,prb de retour d/eau
0_39,2016-10-05 00:56:49,-39,0,1,prb de retour d/eau
0_39,2016-10-05 01:56:49,-30,0,1,prb de retour d/eau
0_39,2016-10-05 02:56:49,-30,0,1,prb de retour d/eau
0_39,2016-10-05 11:56:49,-114,0,1,prb de retour d/eau
0_39,2016-10-05 12:56:49,-30,0,1,prb de retour d/eau
0_39,2016-10-05 13:56:49,-63,0,1,prb de retour d/eau
0_39,2016-10-05 14:56:49,-36,0,1,prb de retour d/eau
0_39,2016-10-05 15:56:53,-36,0,1,prb de retour d/eau
0_39,2016-10-05 16:56:53,-50,0,1,prb de retour d/eau
0_39,2016-10-05 17:56:53,-30,0,1,prb de retour d/eau
0_39,2016-10-05 18:56:53,-47,0,1,prb de retour d/eau
0_39,2016-10-05 19:56:56,-30,0,1,prb de retour d/eau
0_39,2016-10-12 00:56:38,-30,0,1,prb de retour d/eau
0_39,2016-10-12 01:56:38,-41,0,1,prb de retour d/eau
0_39,2016-10-12 02:56:38,-30,0,1,prb de retour d/eau
0_39,2016-10-12 03:56:53,-30,0,1,prb de retour d/eau
0_39,2016-10-12 04:56:53,-30,0,1,prb de retour d/eau
0_39,2016-10-12 05:56:53,-30,0,1,prb de retour d/eau
0_39,2016-10-12 06:56:53,-30,0,1,prb de retour d/eau
0_39,2016-10-12 07:56:39,-30,0,1,prb de retour d/eau
0_39,2016-10-12 08:56:39,-30,0,1,prb de retour d/eau
0_39,2016-10-12 09:56:39,-52,0,1,prb de retour d/eau
0_39,2016-10-12 10:56:39,-40,0,1,prb de retour d/eau
0_39,2016-10-12 11:56:34,-34,0,1,prb de retour d/eau
0_39,2016-10-12 12:56:34,-37,0,1,prb de retour d/eau
0_39,2016-10-12 13:56:34,-30,0,1,prb de retour d/eau
0_39,2016-10-12 14:56:34,-43,0,1,prb de retour d/eau
0_39,2016-10-12 15:56:35,-31,0,1,prb de retour d/eau
0_39,2016-10-12 16:56:35,-69,0,1,prb de retour d/eau
0_39,2016-11-01 00:56:06,-30,0,1,prb de retour d/eau
0_39,2016-11-01 01:56:06,-30,0,1,prb de retour d/eau
0_39,2016-11-01 02:56:09,-30,0,1,prb de retour d/eau
0_39,2016-11-01 03:56:09,-30,0,1,prb de retour d/eau
0_39,2016-11-01 04:56:09,-30,0,1,prb de retour d/eau
0_39,2016-11-01 05:56:09,-30,0,1,prb de retour d/eau
0_39,2016-11-01 06:56:06,-30,0,1,prb de retour d/eau
0_39,2016-11-01 07:56:06,-37,0,1,prb de retour d/eau
0_39,2016-11-01 08:56:06,-39,0,1,prb de retour d/eau
0_39,2016-11-01 09:56:06,-78,0,1,prb de retour d/eau
0_39,2016-11-01 10:56:02,-38,0,1,prb de retour d/eau
0_39,2016-11-01 11:56:02,-30,0,1,prb de retour d/eau
0_39,2016-11-01 12:56:02,-35,0,1,prb de retour d/eau
0_39,2016-11-01 13:56:02,-36,0,1,prb de retour d/eau
0_39,2016-11-01 14:56:11,-33,0,1,prb de retour d/eau
0_39,2016-11-01 15:56:11,-30,0,1,prb de retour d/eau
0_39,2016-11-01 16:56:11,-63,0,1,prb de retour d/eau
0_39,2016-11-01 17:56:11,-30,0,1,prb de retour d/eau
0_39,2016-11-01 18:56:04,-37,0,1,prb de retour d/eau
0_39,2016-11-01 19:56:04,-41,0,1,prb de retour d/eau
0_39,2016-11-01 20:56:04,-30,0,1,prb de retour d/eau
0_39,2016-11-01 21:56:04,-69,0,1,prb de retour d/eau
0_39,2016-11-01 22:56:03,-57,0,1,prb de retour d/eau
0_39,2016-11-01 23:56:03,-30,0,1,prb de retour d/eau
0_39,2016-12-01 00:55:17,-38,0,1,prb de retour d/eau
0_39,2016-12-01 01:55:17,-30,0,1,prb de retour d/eau
0_39,2016-12-01 02:55:13,-30,0,1,prb de retour d/eau
0_39,2016-12-01 03:55:13,-30,0,1,prb de retour d/eau
0_39,2016-12-01 04:55:13,-30,0,1,prb de retour d/eau
0_39,2016-12-01 05:55:13,-30,0,1,prb de retour d/eau
0_39,2016-12-01 06:55:14,-31,0,1,prb de retour d/eau
0_39,2016-12-01 07:55:14,-43,0,1,prb de retour d/eau
0_39,2016-12-01 08:55:14,-41,0,1,prb de retour d/eau
0_39,2016-12-01 09:55:14,-83,0,1,prb de retour d/eau
0_39,2016-12-01 10:55:14,-31,0,1,prb de retour d/eau
0_39,2017-02-07 10:53:27,-80,0,1,prb de retour d/eau
0_39,2017-02-07 11:53:27,-68,0,1,prb de retour d/eau
0_39,2017-02-07 12:53:27,-53,0,1,prb de retour d/eau
0_39,2017-02-07 13:53:27,-39,0,1,prb de retour d/eau
0_39,2017-02-07 14:53:41,-57,0,1,prb de retour d/eau
0_39,2017-02-07 15:53:41,-36,0,1,prb de retour d/eau
0_39,2017-02-07 16:53:41,-123,0,1,prb de retour d/eau
0_39,2017-02-07 17:53:41,-30,0,1,prb de retour d/eau
0_39,2017-02-07 18:53:38,-37,0,1,prb de retour d/eau
0_39,2017-02-07 19:53:38,-35,0,1,prb de retour d/eau
0_39,2017-02-07 20:53:38,-30,0,1,prb de retour d/eau
0_39,2017-02-07 21:53:38,-85,0,1,prb de retour d/eau
0_39,2017-02-07 22:53:46,-30,0,1,prb de retour d/eau
0_39,2017-02-07 23:53:46,-57,0,1,prb de retour d/eau
0_40,2016-05-07 13:00:56,-80,0,1,prb de retour d/eau
0_40,2016-05-07 14:00:56,-30,0,1,prb de retour d/eau
0_40,2016-05-07 15:00:56,-30,0,1,prb de retour d/eau
0_40,2016-05-07 16:00:58,-30,0,1,prb de retour d/eau
0_40,2016-05-07 17:00:58,-30,0,1,prb de retour d/eau
0_40,2016-05-07 18:00:58,-30,0,1,prb de retour d/eau
0_40,2016-05-07 19:00:58,-36,0,1,prb de retour d/eau
0_40,2016-05-07 20:00:56,-36,0,1,prb de retour d/eau
0_40,2016-05-07 21:00:56,-30,0,1,prb de retour d/eau
0_40,2016-05-07 22:00:56,-32,0,1,prb de retour d/eau
0_40,2016-05-07 23:00:56,-40,0,1,prb de retour d/eau
0_40,2016-06-07 00:00:29,-47,0,1,prb de retour d/eau
0_40,2016-06-07 01:00:29,-30,0,1,prb de retour d/eau
0_40,2016-06-07 02:00:29,-30,0,1,prb de retour d/eau
0_40,2016-06-07 03:00:29,-30,0,1,prb de retour d/eau
0_40,2016-06-07 04:00:06,-30,0,1,prb de retour d/eau
0_40,2016-06-07 05:00:06,-30,0,1,prb de retour d/eau
0_40,2016-06-07 06:00:06,-30,0,1,prb de retour d/eau
0_40,2016-06-07 07:00:06,-30,0,1,prb de retour d/eau
0_40,2016-06-07 08:04:55,-44,0,1,prb de retour d/eau
0_40,2016-06-07 09:04:55,-30,0,1,prb de retour d/eau
0_40,2016-06-07 10:04:55,-37,0,1,prb de retour d/eau
0_40,2016-06-07 11:04:55,-34,0,1,prb de retour d/eau
0_40,2016-06-07 12:00:05,-39,0,1,prb de retour d/eau
0_40,2016-06-07 13:00:05,-30,0,1,prb de retour d/eau
0_40,2016-06-07 14:00:05,-37,0,1,prb de retour d/eau
0_40,2016-06-07 15:00:05,-54,0,1,prb de retour d/eau
0_40,2016-06-07 16:00:06,-30,0,1,prb de retour d/eau
0_40,2016-06-07 17:00:06,-30,0,1,prb de retour d/eau
0_40,2016-06-07 18:00:06,-55,0,1,prb de retour d/eau
0_40,2016-06-07 19:00:06,-30,0,1,prb de retour d/eau
0_40,2016-06-07 20:00:09,-38,0,1,prb de retour d/eau
0_40,2016-06-07 21:00:09,-30,0,1,prb de retour d/eau
0_40,2016-06-07 22:00:09,-93,0,1,prb de retour d/eau
0_40,2016-06-07 23:00:09,-45,0,1,prb de retour d/eau
0_40,2016-07-07 00:59:16,-43,0,1,prb de retour d/eau
0_40,2016-07-07 01:59:16,-37,0,1,prb de retour d/eau
0_40,2016-07-07 02:59:16,-33,0,1,prb de retour d/eau
0_40,2016-07-07 03:59:16,-30,0,1,prb de retour d/eau
0_40,2016-07-07 04:59:16,-30,0,1,prb de retour d/eau
0_40,2016-07-07 05:59:16,-30,0,1,prb de retour d/eau
0_40,2016-07-07 06:59:16,-30,0,1,prb de retour d/eau
0_40,2016-07-07 07:59:16,-44,0,1,prb de retour d/eau
0_40,2016-07-07 08:59:16,-34,0,1,prb de retour d/eau
