user_number,datetime,Consommation,cluster,anomalie,type
0_39,2016-03-05 12:02:44,0,0,0,pas d'anomalie
0_39,2016-03-05 13:02:44,0,0,0,pas d'anomalie
0_39,2016-03-05 14:02:44,0,0,0,pas d'anomalie
0_39,2016-03-05 15:02:39,0,0,0,pas d'anomalie
0_39,2016-03-05 16:02:39,22,0,0,pas d'anomalie
0_39,2016-03-05 17:02:39,0,0,0,pas d'anomalie
0_39,2016-03-05 18:02:39,0,0,0,pas d'anomalie
0_39,2016-03-05 19:02:37,5,0,0,pas d'anomalie
0_39,2016-03-05 20:02:37,0,0,0,pas d'anomalie
0_39,2016-03-05 21:02:37,0,0,0,pas d'anomalie
0_39,2016-03-05 22:02:37,0,0,0,pas d'anomalie
0_39,2016-03-05 23:02:38,3,0,0,pas d'anomalie
0_39,2016-03-06 00:02:38,0,0,0,pas d'anomalie
0_39,2016-03-06 01:02:38,4,0,0,pas d'anomalie
0_39,2016-03-06 02:02:38,5,0,0,pas d'anomalie
0_39,2016-03-06 03:02:36,37,0,0,pas d'anomalie
0_39,2016-03-06 04:02:36,0,0,0,pas d'anomalie
0_39,2016-03-06 05:02:36,0,0,0,pas d'anomalie
0_39,2016-03-06 06:02:36,14,0,0,pas d'anomalie
0_39,2016-03-06 07:02:37,0,0,0,pas d'anomalie
0_39,2016-03-06 08:02:37,6,0,0,pas d'anomalie
0_39,2016-03-06 09:02:37,0,0,0,pas d'anomalie
0_39,2016-03-06 10:02:37,30,0,0,pas d'anomalie
0_39,2016-03-06 11:02:35,6,0,0,pas d'anomalie
0_39,2016-03-06 12:02:35,0,0,0,pas d'anomalie
0_39,2016-03-06 13:02:35,4,0,0,pas d'anomalie
0_39,2016-03-06 14:02:35,0,0,0,pas d'anomalie
0_39,2016-03-06 15:02:37,0,0,0,pas d'anomalie
0_39,2016-03-06 16:02:37,0,0,0,pas d'anomalie
0_39,2016-03-06 17:02:37,14,0,0,pas d'anomalie
0_39,2016-03-06 18:02:37,0,0,0,pas d'anomalie
0_39,2016-03-06 19:02:35,4,0,0,pas d'anomalie
0_39,2016-03-06 20:02:35,0,0,0,pas d'anomalie
0_39,2016-03-06 21:02:35,0,0,0,pas d'anomalie
0_39,2016-03-06 22:02:35,0,0,0,pas d'anomalie
0_39,2016-03-06 23:02:37,6,0,0,pas d'anomalie
0_39,2016-03-07 00:02:37,0,0,0,pas d'anomalie
0_39,2016-03-07 01:02:37,0,0,0,pas d'anomalie
0_39,2016-03-07 02:02:37,8,0,0,pas d'anomalie
0_39,2016-03-07 03:02:35,1,0,0,pas d'anomalie
0_39,2016-03-07 04:02:35,73,0,0,pas d'anomalie
0_39,2016-03-07 05:02:35,4,0,0,pas d'anomalie
0_39,2016-03-07 06:02:35,1,0,0,pas d'anomalie
0_39,2016-03-07 07:02:36,27,0,0,pas d'anomalie
0_39,2016-03-07 08:02:36,11,0,0,pas d'anomalie
0_39,2016-03-07 09:02:36,0,0,0,pas d'anomalie
0_39,2016-03-07 10:02:36,0,0,0,pas d'anomalie
0_39,2016-03-07 15:02:35,13,0,0,pas d'anomalie
0_39,2016-03-07 16:02:35,0,0,0,pas d'anomalie
0_39,2016-03-07 17:02:35,2,0,0,pas d'anomalie
0_39,2016-03-07 18:02:35,32,0,0,pas d'anomalie
0_39,2016-03-08 03:02:34,0,0,0,pas d'anomalie
0_39,2016-03-08 04:02:34,0,0,0,pas d'anomalie
0_39,2016-03-08 05:02:34,0,0,0,pas d'anomalie
0_39,2016-03-08 06:02:34,0,0,0,pas d'anomalie
0_39,2016-03-08 07:02:40,0,0,0,pas d'anomalie
0_39,2016-03-08 08:02:40,0,0,0,pas d'anomalie
0_39,2016-03-08 09:02:40,0,0,0,pas d'anomalie
0_39,2016-03-08 10:02:40,7,0,0,pas d'anomalie
0_39,2016-03-08 11:02:34,1,0,0,pas d'anomalie
0_39,2016-03-08 12:02:34,0,0,0,pas d'anomalie
0_39,2016-03-08 13:02:34,18,0,0,pas d'anomalie
0_39,2016-03-08 14:02:34,0,0,0,pas d'anomalie
0_39,2016-03-08 15:02:35,8,0,0,pas d'anomalie
0_39,2016-03-08 16:02:35,32,0,0,pas d'anomalie
0_39,2016-03-08 17:02:35,4,0,0,pas d'anomalie
0_39,2016-03-08 18:02:35,44,0,0,pas d'anomalie
0_39,2016-03-08 19:02:36,0,0,0,pas d'anomalie
0_39,2016-03-08 20:02:36,10,0,0,pas d'anomalie
0_39,2016-03-08 21:02:36,0,0,0,pas d'anomalie
0_39,2016-03-08 22:02:36,0,0,0,pas d'anomalie
0_39,2016-03-09 03:02:32,0,0,0,pas d'anomalie
0_39,2016-03-09 04:02:32,0,0,0,pas d'anomalie
0_39,2016-03-09 05:02:32,9,0,0,pas d'anomalie
0_39,2016-03-09 06:02:32,67,0,0,pas d'anomalie
0_39,2016-03-09 07:02:46,0,0,0,pas d'anomalie
0_39,2016-03-09 08:02:46,0,0,0,pas d'anomalie
0_39,2016-03-09 09:02:46,29,0,0,pas d'anomalie
0_39,2016-03-09 10:02:46,0,0,0,pas d'anomalie
0_39,2016-03-09 11:02:32,5,0,0,pas d'anomalie
0_39,2016-03-09 12:02:32,5,0,0,pas d'anomalie
0_39,2016-03-09 13:02:32,0,0,0,pas d'anomalie
0_39,2016-03-09 14:02:32,3,0,0,pas d'anomalie
0_39,2016-03-09 15:02:33,0,0,0,pas d'anomalie
0_39,2016-03-09 16:02:33,0,0,0,pas d'anomalie
0_39,2016-03-09 17:02:33,39,0,0,pas d'anomalie
0_39,2016-03-09 18:02:33,0,0,0,pas d'anomalie
0_39,2016-03-09 19:02:33,9,0,0,pas d'anomalie
0_39,2016-03-09 20:02:33,3,0,0,pas d'anomalie
0_39,2016-03-09 21:02:33,93,0,0,pas d'anomalie
0_39,2016-03-09 22:02:33,0,0,0,pas d'anomalie
0_39,2016-03-09 23:02:32,0,0,0,pas d'anomalie
0_39,2016-03-10 00:02:32,0,0,0,pas d'anomalie
0_39,2016-03-10 01:02:32,0,0,0,pas d'anomalie
0_39,2016-03-10 02:02:32,0,0,0,pas d'anomalie
0_39,2016-03-10 03:02:34,3,0,0,pas d'anomalie
0_39,2016-03-10 04:02:34,35,0,0,pas d'anomalie
0_39,2016-03-10 05:02:34,0,0,0,pas d'anomalie
0_39,2016-03-10 06:02:34,0,0,0,pas d'anomalie
0_39,2016-03-10 07:02:36,0,0,0,pas d'anomalie
0_39,2016-03-10 08:02:36,0,0,0,pas d'anomalie
0_39,2016-03-10 09:02:36,0,0,0,pas d'anomalie
0_39,2016-03-10 10:02:36,7,0,0,pas d'anomalie
0_39,2016-03-10 11:02:42,19,0,0,pas d'anomalie
0_39,2016-03-10 12:02:42,0,0,0,pas d'anomalie
0_39,2016-03-10 13:02:42,0,0,0,pas d'anomalie
0_39,2016-03-10 14:02:42,11,0,0,pas d'anomalie
0_39,2016-03-10 15:02:31,5,0,0,pas d'anomalie
